DATE,TITLE,MAIN_NEWS,SOURCE_URL
"२०७७ असार १९, ०५:३९",खानेपानी विवादमा महिलामाथि खुकुरी प्रहार ,खानेपानीको विषयमा छिमेकीबीच विवाद हुँदा एक महिलामाथि खुकुरी प्रहार भएको छ। हुम्लाको सर्केगाड गाउँपालिका ४ सायामा खानेपानीको विषयमा भएको विवादमा खुकुरी प्रहारबाट कारण ४५ वर्षीया हजारी साउद गम्भीर घाइते भएकी छिन्। प्रहरीका अनुसार उनीमाथि स्थानीय नेत्र थापाले खुकुरी प्रहार गरेका हुन्। घाइते महिलाको साया स्वास्थ्यचौकीमा उपचार हुन नसकेपछि बाहिरका अस्पतालमा रेफर गरिएको छ। खुकुरी प्रहारका कारण टाउकोमा गम्भीर चोट लागेको रिवार स्रोतले जनाएको छ। यस्तै सो घटनामा सामान्य घाइते भएकी झला थापाको स्थानीय स्वास्थ्यचौकीमा उपचार भइरहेको छ। खुकुरी प्रहार गर्ने थापालाई पक्राउ गरिएको छ भने आवश्यक अनुसन्धान भइरहेको प्रहरीले जनाएको छ। ,https://dineshkhabar.com/article/31942
"२०७७ असार १९, ०८:०२",कैलालीका निजी विद्यालयले तलब नदिएको भन्दै शिक्षकहरु आन्दोलित ,<strong>धनगढी : </strong>कैलालीका निजी विद्यालयले तलब नदिएको भन्दै शिक्षकहरु आन्दोलित भएका छन्। कोरोना भाईरसको प्रभाव परेको तीन महिना भएपनि आफूहरुले ६ महिनादेखि तलब नपाएको भन्दै शिक्षकहरु आन्दोलित भएका हुन्। देशव्यापी विरोध गर्ने कार्यक्रम अन्तरगत आज पहिलो चरणमा धनगढीमा पनि प्रर्दशन गरेको संस्थागत विद्यालय शिक्षक युनियन कैलालीका अध्यक्ष शिवराज जोशीले बताए। कोरोना प्रभावका कारण विद्यालयहरु बन्द भएपनि लकडाउन अगाडीकै तलब समेत नपाएको उनले बताए। पहिलो दिन शान्तिपूर्ण प्रदर्शन गरेपनि माग सम्बोधन नभए थप आन्दोलन कार्यक्रम तय गर्ने संस्थागत विद्यालय शिक्षक युनियन कैलालीले जनाएको छ। ,https://dineshkhabar.com/article/31954
"२०७७ असार २२, ०७:४५",बैतडीको सिगास गाउँपालिका वडा नम्बर १ को कार्यालयमा तालाबन्दी ,<strong>बैतडी : </strong>विद्युत विस्तार सम्बन्धी विवाद हुँदा बैतडीको सिगास गाउँपालिका वडा नम्बर १ को कार्यालयमा तालाबन्दी गरिएको छ। विद्युत विस्तारको विषयलाई लिएर स्थानीयले तालाबन्दी गरेका हुन्। दुदिलाखानदेखि थडाकाडा रोड भएर विद्युत विस्तार गर्नुपर्ने स्थानीयको माग भएपनि वडाध्यक्षले अन्यत्रैबाट लाईन लैजान खोजेको भन्दै तालाबन्दी गरिएको हो। वडाध्यक्ष गगनसिंह धामीले भने स्थानीयकै माग अनुसार विद्युत विस्तार गर्न खोजेपनि बिना कारण अवरोध सिर्जना गरी तालाबन्दी गरिएको दावी गरेका छन्। उनले स्थानीयले विरोधका नाममा विरोध मात्र गरेको दावी समेत गरेका छन्। ,https://dineshkhabar.com/article/32108
"२०७७ असार २१, ०४:२१",कैलालीमा प्रधानमन्त्री ओलीको पक्षमा प्रदर्शन ,"<strong>धनगढी: </strong>प्रधानमन्त्री केपी शर्मा ओलीको पक्षमा कैलालीको टीकापुरमा प्रदर्शन भएको छ। भारतीय चलखेलमा नेपाल कम्युनिष्ट पार्टी (नेकपा)का नेताहरुबाटै केपी शर्मा ओली नेतृत्वको सरकारलाई ढाल्न खोजिएको भन्दै टीकापुरमा प्रदर्शन भएको हो। 'राष्ट्र नायक’ केपी ओली जिन्दावाद, भारतीय विस्तारवाद मुर्दावाद’, ‘अस्थिरता चाहिँदैन, सरकार ढाल्न पाइँदैन’ भन्दै युवा, विद्यार्थी र सर्वसाधारणहरूले प्रधानमन्त्री केपी ओली पक्षमा नारा लगाएका थिए। टीकापुरको खड्ग चोकबाट सुरु भएको र्‍याली नेपालको झण्डा सहित बजार परिक्रमा गरी अस्पताल रोड हुँदै खड्ग चोक पुगेर सभामा परिणत भएको थियो। प्रदर्शनमा नेकपानिकट विद्यार्थी र युवा बढी थिए।",https://dineshkhabar.com/article/32080
"२०७७ असार २१, ०६:१५",रक्सीले ‘झ्याप’ बनाएर युवती बलात्कार ,<strong>काठमाडौं:</strong> उपत्यकाको माकलबारीमा अन्दाजी ३० वर्षीया युवतीमाथि बलात्कार भएको छ। गएराति सिन्धुपाल्चोक घर भएका भुवन बिष्ट र दोलखा घर भएका पासाङ शेर्पा बलात्कारको आरोपमा पक्राउ परेका हुन्। गएराति युवतीसँगै उनीहरुले रक्सी खाएका थिए। रक्सीले आफूलाई झ्याप बनाएपछि उनीहरुले बलात्कार गरेको ती पीडित युवतीले प्रहरीसमक्ष बयान दिएकी छन्। पक्राउ परेका दुवै जनामाथि थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ। ,https://dineshkhabar.com/article/32090
"२०७७ असार २१, ०९:१६",दिनेश खबरकर्मीमाथि हातपात गर्ने बावु छोरा पक्राउ ,"<strong>धनगढी : </strong>दिनेश खबरकर्मीमाथि हातपात गर्ने धनगढीका दुईजना पक्राउ परेका छन्। दिनेश सञ्चार गृहले सञ्चालन गरेको दिनेश खबर÷दिनेश एफएमका वरिष्ठ संवाददाता कमल सावदमाथि दुर्व्यवहार गरी हातपात गर्ने धनगढी उप–महानगरपालिका वडा नम्बर ५ का हर्कबहादुर देउवा र उनका छोरा ठक्करबहादुर देउवा पक्राउ परेका हुन्। उनीहरु दुवैजनाले आज दिउँसो सुदूरपश्चिम भूमि व्यवस्था कृषि तथा सहकारी मन्त्रालयमा पत्रकार सावदमाथि दुव्र्यवहार गर्दै हातपात गरेका थिए। दुवैजना विरुद्ध पत्रकार सावदले दर्ता गरेको सार्वजनिक हित समेतको विरुद्ध कसुर गरेको मुद्दामा अनुसन्धानका लागि पक्राउ गरिएको जिल्ला प्रहरी कार्यालयका प्रवक्ता प्रहरी नायब उपरिक्षक प्रतिक विष्टले बताए। यसअघि जिल्ला प्रहरी कार्यालयमा दिएको ठाडो निवेदनका आधारमा छलफलका लागि भन्दै आफै प्रहरी कार्यालयमा उपस्थित भएका बावु छोरालाई उजुरी दर्ता भएपछि प्रहरीले नियन्त्रणमा लिएको हो। कृषि मन्त्रालयबाट माछा पालनका लागि अनुदान लिएर पनि पोखरी निर्माण नगरेको विषयमा समाचार छापेर आफ्नोे बदनाम गरेको भन्दै बुवाछोराले पत्रकार सावदमाथि दुव्र्यवहार र हातपात गरेका थिए। ठक्कर देउवा कैलाली फुटबल संघका सदस्य समेत हुन्। उनका बुवा हर्क बहादुर देउवाले धनगढी उप–महानगरपालिका वडा नम्व्र ५ मा कृषि मन्त्रालयबाट माछा पालन गर्ने भन्दै एक लाख ४२ हजार ६ सय आठ रुपैँया अनुदान पाएका थिए। अनुदान पाएको एक बर्ष भएपनि अहिलेसम्म वडा नम्वर ५ मा माछापालन सुरु भएको छैन् भने पोखरी समेत निर्माण गरिएको छैन्। यसैबीच उनीहरुलाई प्रहरीले नियन्त्रणमा लिनु अघि समाचार लेखेकै भरमा पत्रकारमाथि दुव्र्यवहार र हातपात गरी ज्यान मार्ने धम्की दिएको घटनाप्रती ध्यानाकर्षण भएको भन्दै पत्रकारहरुको टोली जिल्ला प्रहरी कार्यालयमा पुगेको थियो। नेपाल पत्रकार महासंघका सुदूरपश्चिम अध्यक्ष अर्जुनबहादुर शाह, महासचिव योगेश रावल, पत्रकार महासंघका पूर्व केन्द्रीय सदस्य दिलबहादुर छत्याल, कैलाली जिल्ला शाखाका कोषाध्यक्ष हिमाल जोशी, प्रेस युनियन कैलाली शाखाका अध्यक्ष श्रवण देउवा लगायतका पत्रकारको टोलीले दोषीलाई कानून अनुसार कारवाही हुनुपर्ने भन्दै कैलाली प्रहरीको ध्यानाकर्षण गराएका थिए। कैलालीका प्रमुख प्रहरी उपरिक्षक अनुपम शमशेर जबराले घटनाको अनुसन्धान गरी दोषीलाई कानून अनुसार कारवाही गर्ने प्रतिबद्धता जनाएका छन्। ",https://dineshkhabar.com/article/32102
"२०७७ असार १७, ०२:५०",वडाध्यक्षमाथि आक्रमण गरेको आरोपमा तीन पक्राउ ,<strong>तुलसीपुर:</strong> दाङ शान्तिनगर गाउँपालिका –२ का वडाध्यक्ष फर्साराम डाँगीमाथि आक्रमण गरेको आरोपमा प्रहरीले तीन जनालाई पक्राउ गरी सोधपुछ शुरु गरेको छ। इलाका प्रहरी कार्यालय तुलसीपुरका प्रहरी नायब उपरीक्षक शिवबहादुर सिंहका अनुसार नेत्रविक्रम चन्द समूहका तीन जनालाई मङ्गलबार राति शान्तिनगर २ बाट पक्राउ गरिएको हो। उनीहरुको नाम र ठेगाना भने सार्वजनिक गरिएको छैन। मङ्गलबार अपराह्न २ बजेतिर आक्रमणबाट घाइते डाँगीलाई उपचारका लागि काठमाडौँ लगिएको छ। डाँगीको ह्याम्स अस्पतालमा उपचार भइरहेको छ। ,https://dineshkhabar.com/article/31780
"२०७७ असार १५, ०४:०७",कैलालीमा वडा कार्यालय भवन निर्माणमा मनपरी गरेको भन्दै स्थानीयको विरोध ,<strong>कैलाली :</strong> कैलालीको घोडाघोडी नगरपालिका वडा नम्बर ६ को कार्यालय भवन निर्माणमा मनरी गरेको भन्दै स्थानीयले विरोध गरेका छन्। वडा कार्यालय निर्माण गर्दा स्थानीयवासीको मागलाई वेवास्था गर्दै मनोमानी ढंगबाट अनुपयुक्त स्थानमा वडा कार्यालयको भवन निर्माण गर्न लागेको भन्दै स्थानीयहरुले विरोध गरेका हुन्। जनताको चाहना विपरित बसन्तामा वडा कायालय निमार्ण हुन लागेका भन्दै सोमबार स्थानीयले सडकमा उत्रिएर विरोध जनाएका छन्। स्थानीयले प्रतिखेतमा नै भवन निर्माण गर्नुपर्ने वा बृहत भेला गराई निर्णय गरी अघि बढ्नुपर्ने माग वडा र नगरपालिकामा राखेको भएपनि कतैबाट सुनुवाई नभएको भन्दै विरोध गरेका छन्। यसअघि वडाअध्यक्ष विनोद विश्वकर्माले आफुखुसी भवन निर्माण गर्न थालेको भन्दै स्थानीय डम्बर थापाले गत वर्ष जेठ १४ गते पुनरावेदन अदालत दिपायलमा मुद्धा दायर गरेका थिए। ,https://dineshkhabar.com/article/31635
"२०७७ असार १५, १२:४८","कैलालीमा जनप्रतिनिधिका छोराहरूको गुण्डागर्दी, सर्वसाधारणमाथि कुटपिट ","धनगढी : कैलालीको गौरीगंगा नगरपालिकाका जनप्रतिनिधिका छोराहरू सम्मिलित युवाटहरुको समूहले एक युवकमाथि मरणासन्न हुनेगरी कुटपिट गरेको छ। नगरपालिकाका वडा सदस्यद्वय चिरञ्जीवी जोशी र अमृता विकका छोरासहित युवाहरूको कुटपिटबाट युवक घाइते भएका हुन्। ईलाका प्रहरी कार्यालय मसुरियाका प्रहरी नायव निरिक्षक डम्मरबहादुर थापाले आइतवार राति गौरीगंगा नगरपालिका–८ का राजकुमार कठरियाका २१ वर्षीय छोरा कमान्डो कठरियामाथि कुटपिट भएको बताए। कुटपिटमा वडा सदस्य जोशीका छोरा निरज जोशी र वडा सदस्य विकका छोरा अर्जुन विकसहित गौरीगंगा नगरपालिका–४ का दिपेन्द्र सुनार, अर्जुन विक, विवेक बराल, वडा नम्बर ९ का सुरेश चुनाराको संलग्नता रहेको उनले बताए। घाइते कठरियाका बुवा राजकुमार कठरियाले आफ्नो छोराले ती युवालाई लागूऔषधको कारोबार गरेको देखेको र घटना बाहिर आउने डरले आफ्नो छोरामाथि कुटपिट गरेको दाबी गरे। यसैबीच, कुटपिटको घटनालाई आपसमै मिलाउने प्रयास भइरहको छ। वडा सदस्यद्वय सहितका व्यक्तिले आपसी छलफलबाटै घटनालाई मिलाउनुपर्ने दबाब सिर्जना गरिरहेका बताइएको छ। राति नै पक्राउ परेका निरज जोशीलाई उनका बुवा चिरञ्जीवी जोशीले पहुँचको भरमा घर लगेका जनाइएको छ। ",https://dineshkhabar.com/article/31619
"२०७७ असार १४, १२:५३",कैलालीमा ११ वर्षीया बालिका बलात्कारको आरोपमा युवक पक्राउ ,<strong>धनगढी : </strong>कैलालीमा ११ वर्षीया बालिका बलात्कारको आरोपमा युवक पक्राउ परेका छन्। जिल्लाको कैलारी गाउँपालिका वडा नम्बर २ मा ११ वर्षीया बालिका बलात्कार गरेको आरोपमा २९ वर्षीय युवक वर्षीय दिपेन्द्र चौधरीलाई पक्राउ गरिएको प्रहरीले जनाएको छ। जिल्ला प्रहरी कार्यालयका प्रमुख प्रहरी उपरीक्षक अनुपम शमशेर जबराले चौधरीलाई नियन्त्रणमा लिएर घटनाको अनुसन्धान भइरहेको जानकारी दिए। ,https://dineshkhabar.com/article/31551
